Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008
"06037218400","14000US06037218400","Census Tract 2184","Census Tract 2184, Los Angeles County, California","ca","140","00","ACSSF","0004523",,,,,"06","037",,,,"218400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4737,2545,907,0,130,0,1084,71
"06037218500","14000US06037218500","Census Tract 2185","Census Tract 2185, Los Angeles County, California","ca","140","00","ACSSF","0004524",,,,,"06","037",,,,"218500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641,1337,692,41,106,0,359,106
"06037218600","14000US06037218600","Census Tract 2186","Census Tract 2186, Los Angeles County, California","ca","140","00","ACSSF","0004525",,,,,"06","037",,,,"218600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3148,1315,816,0,76,0,726,215
"06037218701","14000US06037218701","Census Tract 2187.01","Census Tract 2187.01, Los Angeles County, California","ca","140","00","ACSSF","0004526",,,,,"06","037",,,,"218701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2324,623,849,0,480,10,274,88
"06037218702","14000US06037218702","Census Tract 2187.02","Census Tract 2187.02, Los Angeles County, California","ca","140","00","ACSSF","0004527",,,,,"06","037",,,,"218702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056,661,816,15,60,0,472,32
"06037218800","14000US06037218800","Census Tract 2188","Census Tract 2188, Los Angeles County, California","ca","140","00","ACSSF","0004528",,,,,"06","037",,,,"218800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752,699,670,27,430,0,839,87
"06037218900","14000US06037218900","Census Tract 2189","Census Tract 2189, Los Angeles County, California","ca","140","00","ACSSF","0004529",,,,,"06","037",,,,"218900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6149,1434,2453,16,218,0,1754,274
"06037219010","14000US06037219010","Census Tract 2190.10","Census Tract 2190.10, Los Angeles County, California","ca","140","00","ACSSF","0004530",,,,,"06","037",,,,"219010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3027,784,975,32,63,0,1065,108
"06037219020","14000US06037219020","Census Tract 2190.20","Census Tract 2190.20, Los Angeles County, California","ca","140","00","ACSSF","0004531",,,,,"06","037",,,,"219020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5411,1475,1507,11,163,0,2009,246
"06037219300","14000US06037219300","Census Tract 2193","Census Tract 2193, Los Angeles County, California","ca","140","00","ACSSF","0004532",,,,,"06","037",,,,"219300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4239,1320,1156,0,230,52,1413,68
